Session,GlobalIndex,LocalIndex,TargetChar,AngleX,AngleY,UserInput,IsCorrect,FontSize,SpawnZone,,,,,,
8,72,9,E,53.44,-49.66,NotVisible,FALSE,122.9,Bottom-Right,,,,,,
9,73,1,F,-38.88,40.61,NotVisible,FALSE,46.1,Top-Left,,,,,,
9,74,2,L,-5.41,42.79,NotVisible,FALSE,17.3,Top-Center,,,,,,
9,75,3,P,46.57,39.77,NotVisible,FALSE,17.3,Top-Right,,,,,,
9,76,4,E,-30.29,-8.59,E,TRUE,46.1,Middle-Left,,,,,,
9,77,5,C,13.94,1.62,C,TRUE,201,Middle-Center,,,,,,
9,78,6,O,53.5,2.95,NotVisible,FALSE,46.1,Middle-Right,,,,,,
9,79,7,Z,-34.85,-45.12,Z,TRUE,201,Bottom-Left,,,,,,
9,80,8,D,-7.93,-37.11,NotVisible,FALSE,17.3,Bottom-Center,,,,,,
9,81,9,T,47.15,-51.85,NotVisible,FALSE,10.6,Bottom-Right,,,,,,
10,82,1,L,-53.02,41.21,NotVisible,FALSE,10.6,Top-Left,,,,,,
10,83,2,P,18.61,23.91,P,TRUE,122.9,Top-Center,,,,,,
10,84,3,D,47.43,38.09,NotVisible,FALSE,28.3,Top-Right,,,,,,
10,85,4,Z,-32.05,-3.22,Z,TRUE,75.3,Middle-Left,,,,,,
10,86,5,T,-16.9,-24.7,NotVisible,FALSE,10.6,Middle-Center,,,,,,
10,87,6,F,27.93,-13.37,F,TRUE,17.3,Middle-Right,,,,,,
10,88,7,C,-47.86,-48.75,NotVisible,FALSE,75.3,Bottom-Left,,,,,,
10,89,8,E,13.21,-41.5,NotVisible,FALSE,10.6,Bottom-Center,,,,,,
10,90,9,O,45.5,-38.71,NotVisible,FALSE,6.5,Bottom-Right,,,,,,
11,91,1,L,-43.62,43.36,NotVisible,FALSE,6.5,Top-Left,,,,,,
11,92,2,P,4.54,23.45,P,TRUE,28.3,Top-Center,,,,,,
11,93,3,E,51.66,19.85,NotVisible,FALSE,201,Top-Right,,,,,,
11,94,4,O,-29.95,-13.07,O,TRUE,46.1,Middle-Left,,,,,,
11,95,5,F,21.8,-1.38,F,TRUE,122.9,Middle-Center,,,,,,
11,96,6,T,33.77,-11.31,T,TRUE,201,Middle-Right,,,,,,
11,97,7,D,-43.45,-31.7,NotVisible,FALSE,28.3,Bottom-Left,,,,,,
11,98,8,Z,13.01,-40.46,NotVisible,FALSE,28.3,Bottom-Center,,,,,,
11,99,9,C,40.79,-34.48,NotVisible,FALSE,6.5,Bottom-Right,,,,,,
12,100,1,L,-29.84,31.72,NotVisible,FALSE,10.6,Top-Left,,,,,,
12,101,2,O,13.83,31.39,O,TRUE,201,Top-Center,,,,,,
12,102,3,T,51.75,39.32,NotVisible,FALSE,46.1,Top-Right,,,,,,
12,103,4,F,-29.23,-25.34,NotVisible,FALSE,10.6,Middle-Left,,,,,,
12,104,5,P,-0.69,-15.57,P,TRUE,201,Middle-Center,,,,,,
12,105,6,E,54.55,-4.33,NotVisible,FALSE,6.5,Middle-Right,,,,,,
12,106,7,D,-43.36,-33.57,NotVisible,FALSE,28.3,Bottom-Left,,,,,,
12,107,8,C,-16.5,-52.23,NotVisible,FALSE,10.6,Bottom-Center,,,,,,
12,108,9,Z,54.35,-41.37,NotVisible,FALSE,17.3,Bottom-Right,,,,,,
13,109,1,Z,-49.92,22.33,NotVisible,FALSE,122.9,Top-Left,,,,,,
13,110,2,O,-16.34,14.23,O,TRUE,46.1,Top-Center,,,,,,
13,111,3,D,41.56,18.37,D,TRUE,201,Top-Right,,,,,,
13,112,4,L,-33.23,5.62,L,TRUE,28.3,Middle-Left,,,,,,
13,113,5,T,-21.33,-22.02,T,TRUE,201,Middle-Center,,,,,,
13,114,6,F,52.04,-2.01,NotVisible,FALSE,10.6,Middle-Right,,,,,,
13,115,7,P,-50.62,-48.75,NotVisible,FALSE,75.3,Bottom-Left,,,,,,
13,116,8,C,5.63,-39.13,NotVisible,FALSE,10.6,Bottom-Center,,,,,,
13,117,9,E,48.69,-51.46,NotVisible,FALSE,28.3,Bottom-Right,,,,,,
14,118,1,P,-30.9,29.86,P,TRUE,122.9,Top-Left,,,,,,
14,119,2,D,16.98,40.76,NotVisible,FALSE,28.3,Top-Center,,,,,,
14,120,3,L,46.09,39.31,NotVisible,FALSE,6.5,Top-Right,,,,,,
14,121,4,Z,-42.22,-14.36,Z,TRUE,201,Middle-Left,,,,,,
